model	Precision@10	Recall@10	F1@10	NDCG@10	Gini@10	EPC@10	APLT@10
KTUP	0.6524461318227897	0.852471559862577	0.6984804330126634	0.8485384429740388	0.6991243588056117	0.5874157317942481	0.1947278599398643
EASE	0.6425705962178111	0.8405628622213759	0.6879196136350235	0.8391169520492887	0.6380684629294617	0.5782444614617898	0.2649187556814208
NeuMF	0.651555157191762	0.8517636064850004	0.6977399745198587	0.8452553871316689	0.6776505582430039	0.5861758766374292	0.2175068614082931
ItemKNN	0.6539424250962711	0.8554165860554096	0.7006338278433322	0.8431586297720995	0.671556574361659	0.586243691691661	0.219984834976575
CFKG	0.6524257278236059	0.8511209297711138	0.6983358785218138	0.8499480266033564	0.6970153992983966	0.5885184742632588	0.1814385794699671
CKE	0.6523917211582995	0.8512832761264637	0.6984419744722096	0.8496182403855002	0.6946411372616967	0.5879363233663363	0.1885053929795119
LightGCN	0.6530174437999372	0.8520269412821038	0.699117774280898	0.8499315863101218	0.6945344275462919	0.588661825859846	0.1891661859310537
NGCF	0.6524121251574833	0.8511832294610405	0.6985299308235366	0.846459524115405	0.690437909547267	0.5860581806966118	0.1944158188238585
MKR	0.6498140159280743	0.8468843532482692	0.6953384169419037	0.8445186824897677	0.6941781000617842	0.5838993555274935	0.1947095045800993
KGCN	0.6518204091811518	0.8503567686901804	0.6976637825570541	0.8486056895692033	0.689130362845353	0.5874411105489514	0.2007484179428012
MultiVAE	0.6525345491525862	0.8507605700963282	0.6984667421202239	0.8490007539994945	0.701596950691117	0.5869403988390592	0.1756382857842109
KGNNLS	0.6493107172815396	0.8476818646720632	0.6951269225717083	0.8460169104933983	0.6829562768036396	0.5851709585025291	0.2145516484861198
SGL	0.651772799849723	0.8506905571896494	0.6979609854670495	0.8487103948733475	0.6782963285806041	0.5882023847521074	0.2119818981190126
SLIMElastic	0.6445089761402758	0.8428531740429055	0.6899909837289607	0.8409808473370709	0.6448294866442421	0.580192118608935	0.2584209583245926
BPR	0.6520244491729903	0.8513104234220257	0.6980521706985758	0.8500808582525008	0.692693687966334	0.5883725504960448	0.1917726470176911
KGAT	0.652636569	0.851054504	0.698579934	0.846976369	0.695772878	0.587127607	0.183347537
KGIN	0.65207886	0.851763785	0.698281831	0.849286035	0.684411436	0.588283159	0.204291002
