model	Precision@5	Recall@5	F1@5	NDCG@5	Gini@5	EPC@5	APLT@5
BPR	0.7206276660572821	0.42175540138156	0.4509418450626919	0.9021471546839362	0.7225761312339493	0.5878012031828425	0.0558565275016567
CFKG	0.7234197551382194	0.4237448973251395	0.4526459609522985	0.9015354449291954	0.7334025429390785	0.5861315830498405	0.0504555997349237
CKE	0.7197218990637637	0.421424613204669	0.450542095838187	0.899021356040711	0.7202528796843347	0.5873441138873111	0.0572481776010603
DMF	0.7178106476095507	0.420867390316567	0.4492216753206696	0.8964875793803039	0.7819011100791451	0.5660550525224932	0.0275927766732935
EASE	0.7336989640463133	0.424937057508244	0.4558217180185872	0.9097508531831148	0.7709015329764927	0.582379191728428	0.033059973492379
ItemKNN	0.7237355271176111	0.4241408954035532	0.4530884845210814	0.9024181503374034	0.7934622884827954	0.5678565636369437	0.0294814446653412
KGCN	0.7269098664893912	0.4244412250700431	0.4538388723243259	0.9051524388173172	0.7482064216502788	0.5832588448562103	0.0473078197481776
KGNNLS	0.729618857681015	0.426006882083762	0.4555235765032641	0.9066923459547972	0.7615113185648142	0.5829569610697182	0.042668986083499
KTUP	0.7275746496039001	0.4247419904171628	0.4538864951167435	0.9051082334862856	0.7440958704427338	0.5842460272171148	0.0408797216699801
LightGCN	0.7317794028031688	0.4256927843880315	0.4553996146487979	0.9086562653560514	0.7687690988441609	0.5796973656406698	0.0384609012591119
MKR	0.7252977674367072	0.4233386781551128	0.4527767652270729	0.9024288890422903	0.7520972879610781	0.5796481701488012	0.0463137839628893
MultiVAE	0.7334745997451665	0.4278247432754931	0.4581856454742257	0.9051183819036962	0.8407869119955355	0.5436081258837159	0.0235834990059642
NGCF	0.7167719239931306	0.4206935935281666	0.4495882038773576	0.8962990332953308	0.711537943462243	0.5872755423634228	0.0554589131875414
NeuMF	0.7025788044983656	0.4147258370030791	0.4423699582968981	0.8837076316508593	0.6882779414480187	0.5834784933755717	0.0776259111994698
SGL	0.7237521466954739	0.4221745119052464	0.451713891473514	0.901507101652803	0.7337619193307369	0.5863668233175747	0.0454191517561298
SLIMElastic	0.7162068583457979	0.4193944740135303	0.4487080246257073	0.8980319861604661	0.7307375141174323	0.5809095844904731	0.043629887342611
KGAT	0.714868982	0.42065347	0.448965374	0.89249291	0.712503786	0.58480449	0.057347581
KGIN	0.710988311	0.41893178	0.447538448	0.890986294	0.699865905	0.586436683	0.065034791
