							model	Precision@5	Recall@5	F1@5	NDCG@5	Gini@5	EPC@5	APLT@5
top5_drop0_dbbook_s=1_CompGCN_k=64_l=1.tsv	0.6612	0.5187	0.5363	0.8572	0.6170	0.5891	0.2568
top5_drop0_dbbook_s=2_CompGCN_k=64_l=1.tsv	0.6730	0.5298	0.5467	0.8636	0.6289	0.5999	0.2421
top5_drop0_dbbook_s=3_CompGCN_k=64_l=1.tsv	0.6659	0.5227	0.5402	0.8590	0.6174	0.5934	0.2495
top5_drop0_dbbook_s=4_CompGCN_k=64_l=1.tsv	0.6726	0.5285	0.5466	0.8649	0.6325	0.6005	0.2380
top5_drop0_dbbook_s=5_CompGCN_k=64_l=1.tsv	0.6781	0.5331	0.5507	0.8704	0.6456	0.6063	0.2171
top5_drop0_dbbook_s=6_CompGCN_k=64_l=1.tsv	0.6616	0.5213	0.5371	0.8515	0.6139	0.5870	0.2618
top5_drop0_dbbook_s=8_CompGCN_k=64_l=1.tsv	0.6730	0.5304	0.5473	0.8674	0.6424	0.6013	0.2228
top5_drop0_dbbook_s=7_CompGCN_k=64_l=1.tsv	0.6811	0.5384	0.5543	0.8777	0.6449	0.6123	0.2260
top5_drop0_dbbook_s=1_CompGCN_k=64_l=2.tsv	0.6682	0.5279	0.5432	0.8604	0.6216	0.5959	0.2446
top5_drop0_dbbook_s=2_CompGCN_k=64_l=2.tsv	0.6897	0.5477	0.5619	0.8805	0.6446	0.6195	0.2319
top5_drop0_dbbook_s=3_CompGCN_k=64_l=2.tsv	0.6936	0.5484	0.5650	0.8854	0.6574	0.6239	0.2074
top5_drop0_dbbook_s=4_CompGCN_k=64_l=2.tsv	0.6908	0.5489	0.5633	0.8808	0.6421	0.6214	0.2308
top5_drop0_dbbook_s=5_CompGCN_k=64_l=2.tsv	0.6926	0.5496	0.5646	0.8833	0.6559	0.6229	0.2196
top5_drop0_dbbook_s=6_CompGCN_k=64_l=2.tsv	0.6941	0.5493	0.5650	0.8878	0.6610	0.6256	0.2073
top5_drop0_dbbook_s=8_CompGCN_k=64_l=2.tsv	0.6921	0.5467	0.5634	0.8826	0.6462	0.6222	0.2237
top5_drop0_dbbook_s=7_CompGCN_k=64_l=2.tsv	0.6906	0.5455	0.5623	0.8818	0.6549	0.6210	0.2065
top5_drop0_dbbook_s=1_CompGCN_k=64_l=3.tsv	0.6783	0.5387	0.5525	0.8654	0.6121	0.6055	0.2605
top5_drop0_dbbook_s=2_CompGCN_k=64_l=3.tsv	0.6910	0.5479	0.5629	0.8797	0.6303	0.6205	0.2399
top5_drop0_dbbook_s=3_CompGCN_k=64_l=3.tsv	0.6992	0.5547	0.5699	0.8894	0.6619	0.6308	0.2026
top5_drop0_dbbook_s=4_CompGCN_k=64_l=3.tsv	0.6952	0.5522	0.5669	0.8905	0.6596	0.6276	0.2061
top5_drop0_dbbook_s=5_CompGCN_k=64_l=3.tsv	0.6984	0.5554	0.5700	0.8876	0.6562	0.6292	0.2163
top5_drop0_dbbook_s=6_CompGCN_k=64_l=3.tsv	0.6985	0.5547	0.5696	0.8889	0.6428	0.6296	0.2256
top5_drop0_dbbook_s=8_CompGCN_k=64_l=3.tsv	0.6969	0.5548	0.5689	0.8866	0.6604	0.6274	0.2143
top5_drop0_dbbook_s=7_CompGCN_k=64_l=3.tsv	0.7017	0.5576	0.5724	0.8929	0.6775	0.6328	0.1975
top5_drop0.2_dbbook_s=1_CompGCN_k=64_l=1.tsv	0.6701	0.5269	0.5443	0.8659	0.6316	0.5988	0.2388
top5_drop0.2_dbbook_s=2_CompGCN_k=64_l=1.tsv	0.6768	0.5337	0.5502	0.8698	0.6333	0.6052	0.2456
top5_drop0.2_dbbook_s=3_CompGCN_k=64_l=1.tsv	0.6746	0.5307	0.5483	0.8667	0.6463	0.6020	0.2210
top5_drop0.2_dbbook_s=4_CompGCN_k=64_l=1.tsv	0.6795	0.5366	0.5530	0.8689	0.6403	0.6063	0.2367
top5_drop0.2_dbbook_s=5_CompGCN_k=64_l=1.tsv	0.6787	0.5340	0.5512	0.8759	0.6513	0.6088	0.2174
top5_drop0.2_dbbook_s=6_CompGCN_k=64_l=1.tsv	0.6670	0.5248	0.5414	0.8632	0.6278	0.5956	0.2474
top5_drop0.2_dbbook_s=8_CompGCN_k=64_l=1.tsv	0.6719	0.5277	0.5452	0.8742	0.6482	0.6033	0.2209
top5_drop0.2_dbbook_s=7_CompGCN_k=64_l=1.tsv	0.6854	0.5416	0.5576	0.8799	0.6662	0.6159	0.2108
top5_drop0.2_dbbook_s=1_CompGCN_k=64_l=2.tsv	0.6719	0.5309	0.5464	0.8691	0.6284	0.6027	0.2391
top5_drop0.2_dbbook_s=2_CompGCN_k=64_l=2.tsv	0.6955	0.5522	0.5671	0.8894	0.6630	0.6269	0.2132
top5_drop0.2_dbbook_s=3_CompGCN_k=64_l=2.tsv	0.6987	0.5544	0.5698	0.8896	0.6781	0.6298	0.1910
top5_drop0.2_dbbook_s=4_CompGCN_k=64_l=2.tsv	0.6981	0.5549	0.5696	0.8897	0.6774	0.6296	0.1943
top5_drop0.2_dbbook_s=5_CompGCN_k=64_l=2.tsv	0.6977	0.5541	0.5688	0.8915	0.6824	0.6297	0.1941
top5_drop0.2_dbbook_s=6_CompGCN_k=64_l=2.tsv	0.6990	0.5550	0.5700	0.8902	0.6719	0.6303	0.2106
top5_drop0.2_dbbook_s=8_CompGCN_k=64_l=2.tsv	0.6969	0.5525	0.5680	0.8941	0.6764	0.6299	0.1943
top5_drop0.2_dbbook_s=7_CompGCN_k=64_l=2.tsv	0.6987	0.5557	0.5703	0.8895	0.6769	0.6299	0.1845
top5_drop0.2_dbbook_s=1_CompGCN_k=64_l=3.tsv	0.6858	0.5450	0.5590	0.8781	0.6458	0.6162	0.2279
top5_drop0.2_dbbook_s=2_CompGCN_k=64_l=3.tsv	0.7006	0.5575	0.5720	0.8912	0.6641	0.6318	0.2091
top5_drop0.2_dbbook_s=3_CompGCN_k=64_l=3.tsv	0.6996	0.5557	0.5704	0.8927	0.6792	0.6315	0.1892
top5_drop0.2_dbbook_s=4_CompGCN_k=64_l=3.tsv	0.6976	0.5547	0.5688	0.8958	0.6815	0.6313	0.1877
top5_drop0.2_dbbook_s=5_CompGCN_k=64_l=3.tsv	0.6992	0.5547	0.5699	0.8932	0.6797	0.6307	0.1902
top5_drop0.2_dbbook_s=6_CompGCN_k=64_l=3.tsv	0.7043	0.5619	0.5755	0.8950	0.6640	0.6364	0.2108
top5_drop0.2_dbbook_s=8_CompGCN_k=64_l=3.tsv	0.7028	0.5617	0.5745	0.8905	0.6755	0.6342	0.1958
top5_drop0.2_dbbook_s=7_CompGCN_k=64_l=3.tsv	0.6931	0.5498	0.5646	0.8881	0.6844	0.6246	0.1861
top5_drop0.4_dbbook_s=1_CompGCN_k=64_l=1.tsv	0.6723	0.5304	0.5463	0.8691	0.6350	0.6021	0.2400
top5_drop0.4_dbbook_s=2_CompGCN_k=64_l=1.tsv	0.6788	0.5362	0.5522	0.8722	0.6439	0.6082	0.2312
top5_drop0.4_dbbook_s=3_CompGCN_k=64_l=1.tsv	0.6781	0.5334	0.5508	0.8718	0.6628	0.6063	0.2048
top5_drop0.4_dbbook_s=4_CompGCN_k=64_l=1.tsv	0.6811	0.5354	0.5539	0.8767	0.6572	0.6107	0.2233
top5_drop0.4_dbbook_s=5_CompGCN_k=64_l=1.tsv	0.6832	0.5364	0.5546	0.8786	0.6628	0.6122	0.2028
top5_drop0.4_dbbook_s=6_CompGCN_k=64_l=1.tsv	0.6703	0.5283	0.5442	0.8620	0.6313	0.5974	0.2474
top5_drop0.4_dbbook_s=8_CompGCN_k=64_l=1.tsv	0.6763	0.5320	0.5493	0.8800	0.6608	0.6094	0.2094
top5_drop0.4_dbbook_s=7_CompGCN_k=64_l=1.tsv	0.6866	0.5409	0.5583	0.8839	0.6798	0.6176	0.1954
top5_drop0.4_dbbook_s=1_CompGCN_k=64_l=2.tsv	0.6754	0.5362	0.5500	0.8676	0.6310	0.6052	0.2358
top5_drop0.4_dbbook_s=2_CompGCN_k=64_l=2.tsv	0.6973	0.5537	0.5688	0.8923	0.6692	0.6301	0.2068
top5_drop0.4_dbbook_s=3_CompGCN_k=64_l=2.tsv	0.6967	0.5526	0.5679	0.8892	0.6864	0.6287	0.1971
top5_drop0.4_dbbook_s=4_CompGCN_k=64_l=2.tsv	0.6961	0.5509	0.5669	0.8885	0.6890	0.6272	0.1845
top5_drop0.4_dbbook_s=5_CompGCN_k=64_l=2.tsv	0.6937	0.5488	0.5645	0.8867	0.6966	0.6241	0.1724
top5_drop0.4_dbbook_s=6_CompGCN_k=64_l=2.tsv	0.6976	0.5532	0.5685	0.8919	0.6919	0.6300	0.1879
top5_drop0.4_dbbook_s=8_CompGCN_k=64_l=2.tsv	0.6974	0.5519	0.5682	0.8921	0.6881	0.6292	0.1767
top5_drop0.4_dbbook_s=7_CompGCN_k=64_l=2.tsv	0.6962	0.5521	0.5674	0.8921	0.6934	0.6288	0.1688
top5_drop0.4_dbbook_s=1_CompGCN_k=64_l=3.tsv	0.6935	0.5515	0.5656	0.8842	0.6556	0.6234	0.2216
top5_drop0.4_dbbook_s=2_CompGCN_k=64_l=3.tsv	0.7035	0.5615	0.5749	0.8913	0.6733	0.6335	0.2108
top5_drop0.4_dbbook_s=3_CompGCN_k=64_l=3.tsv	0.6919	0.5449	0.5624	0.8838	0.6783	0.6211	0.1994
top5_drop0.4_dbbook_s=4_CompGCN_k=64_l=3.tsv	0.6983	0.5543	0.5692	0.8926	0.6882	0.6300	0.1827
top5_drop0.4_dbbook_s=5_CompGCN_k=64_l=3.tsv	0.6977	0.5528	0.5682	0.8927	0.6957	0.6288	0.1747
top5_drop0.4_dbbook_s=6_CompGCN_k=64_l=3.tsv	0.7091	0.5648	0.5793	0.8957	0.6746	0.6397	0.2011
top5_drop0.4_dbbook_s=8_CompGCN_k=64_l=3.tsv	0.7017	0.5598	0.5732	0.8924	0.6875	0.6339	0.1878
top5_drop0.4_dbbook_s=7_CompGCN_k=64_l=3.tsv	0.6912	0.5469	0.5624	0.8866	0.7049	0.6219	0.1666
top5_drop0.6_dbbook_s=1_CompGCN_k=64_l=1.tsv	0.6716	0.5295	0.5458	0.8710	0.6352	0.6030	0.2455
top5_drop0.6_dbbook_s=2_CompGCN_k=64_l=1.tsv	0.6760	0.5318	0.5489	0.8768	0.6527	0.6074	0.2204
top5_drop0.6_dbbook_s=3_CompGCN_k=64_l=1.tsv	0.6824	0.5366	0.5544	0.8806	0.6792	0.6130	0.1787
top5_drop0.6_dbbook_s=4_CompGCN_k=64_l=1.tsv	0.6859	0.5404	0.5581	0.8831	0.6821	0.6168	0.1968
