model	Precision@5	Recall@5	F1@5	NDCG@5	Gini@5	EPC@5	APLT@5
top5_drop0_ml1m_s=1_CompGCN_k=64_l=1.tsv	0.7933	0.4524	0.4876	0.9375	0.7394	0.6611	0.0908
top5_drop0_ml1m_s=2_CompGCN_k=64_l=1.tsv	0.8024	0.4576	0.4936	0.9413	0.7655	0.6582	0.0704
top5_drop0_ml1m_s=3_CompGCN_k=64_l=1.tsv	0.8059	0.4594	0.4957	0.9446	0.7620	0.6607	0.0700
top5_drop0_ml1m_s=4_CompGCN_k=64_l=1.tsv	0.8057	0.4584	0.4951	0.9448	0.7616	0.6625	0.0732
top5_drop0_ml1m_s=5_CompGCN_k=64_l=1.tsv	0.8061	0.4593	0.4957	0.9450	0.7672	0.6606	0.0687
top5_drop0_ml1m_s=6_CompGCN_k=64_l=1.tsv	0.8002	0.4561	0.4922	0.9435	0.7675	0.6574	0.0731
top5_drop0_ml1m_s=8_CompGCN_k=64_l=1.tsv	0.8069	0.4589	0.4961	0.9466	0.7631	0.6639	0.0724
top5_drop0_ml1m_s=7_CompGCN_k=64_l=1.tsv	0.8017	0.4564	0.4928	0.9427	0.7670	0.6586	0.0699
top5_drop0_ml1m_s=1_CompGCN_k=64_l=2.tsv	0.8093	0.4605	0.4973	0.9464	0.7552	0.6659	0.0772
top5_drop0_ml1m_s=2_CompGCN_k=64_l=2.tsv	0.8061	0.4589	0.4955	0.9428	0.7540	0.6632	0.0760
top5_drop0_ml1m_s=3_CompGCN_k=64_l=2.tsv	0.8085	0.4606	0.4972	0.9438	0.7589	0.6626	0.0712
top5_drop0_ml1m_s=4_CompGCN_k=64_l=2.tsv	0.8088	0.4602	0.4970	0.9457	0.7579	0.6629	0.0732
top5_drop0_ml1m_s=5_CompGCN_k=64_l=2.tsv	0.8091	0.4608	0.4975	0.9459	0.7615	0.6632	0.0748
top5_drop0_ml1m_s=6_CompGCN_k=64_l=2.tsv	0.8060	0.4584	0.4953	0.9448	0.7537	0.6656	0.0825
top5_drop0_ml1m_s=8_CompGCN_k=64_l=2.tsv	0.8095	0.4594	0.4967	0.9451	0.7583	0.6651	0.0752
top5_drop0_ml1m_s=7_CompGCN_k=64_l=2.tsv	0.8047	0.4590	0.4953	0.9434	0.7610	0.6600	0.0729
top5_drop0_ml1m_s=1_CompGCN_k=64_l=3.tsv	0.8080	0.4588	0.4958	0.9448	0.7529	0.6643	0.0788
top5_drop0_ml1m_s=2_CompGCN_k=64_l=3.tsv	0.8069	0.4599	0.4963	0.9450	0.7529	0.6664	0.0756
top5_drop0_ml1m_s=3_CompGCN_k=64_l=3.tsv	0.8075	0.4602	0.4966	0.9442	0.7601	0.6602	0.0749
top5_drop0_ml1m_s=4_CompGCN_k=64_l=3.tsv	0.8100	0.4606	0.4973	0.9461	0.7502	0.6684	0.0781
top5_drop0_ml1m_s=5_CompGCN_k=64_l=3.tsv	0.8055	0.4586	0.4953	0.9443	0.7559	0.6612	0.0760
top5_drop0_ml1m_s=6_CompGCN_k=64_l=3.tsv	0.8073	0.4598	0.4962	0.9453	0.7660	0.6610	0.0745
